;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pt. Triputra Textile Industry (Spinning Division);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Yarn CLSP Monthly Summary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;2025;;;;;;;;;;;;;;;;;;;;;;;;;
;Sr.;Nom. Count (Ne);Lot;Yarn Type;Slub Code;Supplier;Mills Unit;Process Step;Test Type;January;;February;;March;;April;;May;;June;;July;;August;;September;;October;;November;;December;;;2025
;;;;;;;;;;TM;Clsp;TM;Clsp;TM;Clsp;TM;Clsp;TM;Clsp;TM;Clsp;TM;Clsp;TM;Clsp;TM;Clsp;TM;Clsp;TM;Clsp;TM;Clsp;;Clsp
;1;7;4600,0;Normal;-;SSM;OE;Rotor;Routine;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3,47;2999;3,41;3602;-;-;-;-;-;-;;3300
;2;7;4600,0;Normal;-;SSM;RS;Rotor;Routine;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4,21;3017;-;-;-;-;-;-;-;-;;3017
;3;7;4600,0;Fancy;-;SSM;OE;Rotor;Routine;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4,80;2617;-;-;-;-;-;-;-;-;;2617
;4;7;4600,0;Fancy;-;SSM;RS;Rotor;Routine;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3,93;3650;-;-;-;-;-;-;-;-;;3650
;5;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;-
;6;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;-
