 ;;PT. Triputra Textile (Spinning Division);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;19/Feb/26;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Count Wise Summary of Monthly Production Review Februari 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Month;Unit Pabrik;Yarn Jenis Benang;Count (Ne);Slub Code;Lot Benang;SPK;Warna Cone / Cheese;Berat Cone / Cheese (Kgs);TM;TPI;Speed;Jumlah Spindel / Rotor Terpasang;Aktual Produksi;;;;100% Produksi (Bales);Target Produksi on Target OPR (Bales);Keuntungan atau Kerugian Efisiensi Bales on Target OPS / OPR;Target OPS / OPR;OPS/ OPR Aktual;OPS / OPR Worked;Produksi Effisiensi %;Effisiensi % Kerja;Penghentian (Minutes);;;;;;Spindles / Rotors Bekerja;Spindle / Rotors Effisiensi;Kerugian Produksi (Bales) Karena;;;;;;Harga Benang per Bale;;;;;;;;;
;;;;;;;;;;;;;;;Jumlah Cones / Cheese;Produksi (Kgs);Produksi (Lbs);Aktual Produksi (Bales);;;;;;;;;Power / Electric (min);Count Mengubah (min);Creel Mengubah (min);Preventive Mtc/Rotor/Ring Change Stoppage (min);Creel Short Stoppage (min);Total Penghentian  (min);;;Power Penghentian;Count Mengubah;Creel Mengubah;Preventive MTC./Rotor / Ring Cup Change;Creel (Sliver/Roving) Short;Kerugian Total;;;Target Produksi on Target OPR (Bales);Aktual Produksi (Bales);Kerugian Produksi Karena Power/Electric;Kerugian Produksi Karena Count Mengubah;Kerugian Produksi Karena Creel Mengubah;Kerugian Produksi Karena Preventive MTC./Rotor / Ring Cup Change;Kerugian Produksi Karena Sliver / Roving Short;Keuntungan atau Kerugian Efisiensi
;1;Jan-26;OE;LE;7,0;-;0080.2;0080.2/FN05/SX;;;5,04;13,33;50000;5230;13730;38925;85813;214,53;334;300;6;122,45;87,51;125,00;64,32%;91,89%; 	-   ; 	-   ; 	36 ; 	338 ; 	58 ; 	432 ;3661;70,00%; 	-   ; 	-   ; 	(7,61); 	(70,91); 	(14,47); 	(91,84); 	-   ;;;;;;;;;
;2;Jan-26;OE;E;8,0;-;3700,0;3700.0/JN24;;;;;;0;0;0;0;0,00;;;-;;;-;;-;;;;;;;;; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;;;;;;;;;;
;3;Jan-26;OE;E;14,0;-;3700,0;3700.0/JN24;;;;;;0;0;0;0;0,00;;;-;;;-;;-;;;;;;;;; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;;;;;;;;;;
;4;Jan-26;OE;E;10,0;-;3700,0;3700.0/JN24;;;;;;0;0;0;0;0,00;;;-;;;-;;-;;;;;;;;; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;;;;;;;;;;
;1;Jan-26;RING;RSM;7,0;7,0;1000,0;1000.0/FN03;;;4,10;10,85;9613;7344;4400;12474;27500;68,75;111;100;2;28,94;19,97;29,55;62,11%;91,90%; 	-   ; 	-   ; 	73 ; 	-   ; 	393 ; 	467 ;4964;67,59%; 	-   ; 	-   ; 	(5,29); 	(26,49); 	(21,27); 	(32,97); 	-   ;;;;;;;;;
