;PT. Triputra Textile (Spinning Division);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;19/Feb/26;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Count Wise Summary of Monthly Production Review Februari-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Date;Month;Unit Pabrik;Yarn Jenis Benang;Count (Ne);Slub Code;Lot Benang;SPK;Warna Cone / Cheese;Berat Cone / Cheese (Kgs);TM;TPI;Speed;Jumlah Spindel / Rotor Terpasang;Aktual Produksi;;;;100% Produksi (Bales);Target Produksi on Target OPR (Bales);Keuntungan atau Kerugian Efisiensi Bales on Target OPS / OPR;Target OPS / OPR;OPS/ OPR Aktual;OPS / OPR Worked;Produksi Effisiensi %;Effisiensi % Kerja;Penghentian (Minutes);;;;;;Spindles / Rotors Bekerja;Spindle / Rotors Effisiensi;Kerugian Produksi (Bales) Karena;;;;;;Harga Benang per Bale;;;
;;;;;;;;;;;;;;;Jumlah Cones / Cheese;Produksi (Kgs);Produksi (Lbs);Aktual Produksi (Bales);;;;;;;;;Power / Electric (min);Count Mengubah (min);Creel Mengubah (min);Preventive Mtc/Rotor/Ring Change Stoppage (min);Creel Short Stoppage (min);Total Penghentian  (min);;;Power Penghentian;Count Mengubah;Creel Mengubah;Preventive MTC./Rotor / Ring Cup Change;Creel (Sliver/Roving) Short;Kerugian Total;;;;
;1;Jan-26;OE;;10,00;;;;;;5,01;15,84;65000;2280;6000;17010,00;37500,25;93,75;111;100;5;93,79;87,72;98,48;84,19%;94,52%; 	-   ; 	-   ; 	-   ; 	157 ; 	-   ; 	157 ;2031;89,07%; 	-   ; 	-   ; 	-   ; 	(11,50); 	-   ; 	(11,50);-;;;
;2;Jan-26;OE;;10,00;;;;;;5,01;15,84;65000;2280;5800;16443,00;36250,24;90,63;111;100;2;93,79;84,80;95,20;81,38%;91,37%; 	-   ; 	-   ; 	-   ; 	-   ;-; 	157 ;2031;89,07%; 	-   ; 	-   ; 	-   ; 	-   ; 	(11,12); 	(11,12);-;;;
;3;Jan-26;OE;;10,00;;;;;;5,01;16,24;60000;2280;6000;17010,00;37500,25;93,75;100;90;13;84,44;87,72;96,88;93,51%;103,28%; 	-   ; 	136 ; 	-   ; 	-   ;-; 	136 ;2064;90,54%; 	-   ; 	(7,99); 	-   ; 	-   ; 	-   ; 	(7,99);-;;;
;4;Jan-26;OE;;10,00;;;;;;5,01;16,24;60000;2280;5082;14407,47;31762,71;79,41;100;90;7;84,44;74,30;90,69;79,20%;96,67%; 	-   ; 	-   ; 	-   ; 	-   ;-; 	260 ;1868;81,93%; 	-   ; 	-   ; 	-   ; 	-   ; 	(16,76); 	(16,76);-;;;
;5;Jan-26;OE;;10,42;;;;;;5,01;16,24;60000;2280;4800;13608,00;30000,20;75,00;96;87;7;81,06;70,18;87,91;77,92%;97,62%; 	-   ; 	-   ; 	-   ; 	133 ;-; 	291 ;1820;79,82%; 	-   ; 	-   ; 	-   ; 	(10,31); 	(11,53); 	(21,84);-;;;
;6;Jan-26;OE;;10,30;;;;;;5,01;16,24;60000;2280;5400;15309,00;33750,22;84,38;97;88;9;82,01;78,95;89,99;86,65%;98,77%; 	-   ; 	-   ; 	-   ; 	-   ;-; 	177 ;2000;87,73%; 	-   ; 	-   ; 	-   ; 	-   ; 	(13,44); 	(13,44);-;;;
;7;Jan-26;OE;;9,93;;;;;;5,01;16,24;60000;2280;5400;15309,00;33750,22;84,38;101;91;6;85,07;78,95;90,78;83,53%;96,05%; 	-   ; 	-   ; 	109 ; 	-   ;-; 	188 ;1983;86,97%; 	-   ; 	-   ; 	(7,72); 	-   ; 	(3,48); 	(11,20);-;;;
;8;Jan-26;OE;;9,52;;;;;;5,02;15,52;57500;2280;4600;13041,00;28750,19;71,88;106;95;3;88,97;67,25;92,00;68,04%;93,08%; 	-   ; 	-   ; 	151 ; 	-   ;-; 	387 ;1667;73,10%; 	-   ; 	-   ; 	(11,47); 	-   ; 	(14,47); 	(25,95);-;;;
