,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PT. Triputra Textile (Spinning Division),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daily Production Report Data Base Februari-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Date , Month ,Unit Pabrik,Yarn Jenis Benang,Count (Ne),Slub Code,Lot Benang,SPK,Warna Cone / Cheese,Berat Cone / Cheese (Kgs),TM,TPI,Speed,Jumlah Spindel / Rotor Terpasang,Aktual Produksi,,,,100% Produksi (Bales),Target Produksi on Target OPR (Bales),Keuntungan atau Kerugian Efisiensi Bales on Target OPS / OPR,Target OPS / OPR,OPS/ OPR Aktual,OPS / OPR Worked,Produksi Effisiensi %,Effisiensi % Kerja,Penghentian (Minutes),,,,,,Spindles / Rotors Bekerja,Spindle / Rotors Effisiensi,Kerugian Produksi (Bales) Karena,,,,,,Harga Benang per Bale,
,,,,,,,,,,,,,,,Jumlah Cones / Cheese,Produksi (Kgs),Produksi (Lbs),Aktual Produksi (Bales),,,,,,,,,Power / Electric (min),Count Mengubah (min),Creel Mengubah (min),Preventive Mtc/Rotor/Ring Change Stoppage (min),Creel Short Stoppage (min),Total Penghentian  (min),,,Power Penghentian,Count Mengubah,Creel Mengubah,Preventive MTC./Rotor / Ring Cup Change,Creel (Sliver/Roving) Short,Kerugian Total,,
, 1 ,Februari,OE,E,10.0,-,3700.0,3700.0/JN24,Hijau Pastel,2.835,5.01,15.84,65000,2280,6000,17010,37500,93.8,111,100,5,93.79,87.72,98.48,84.2%,94.5%,0,0,0,157,0,157,2031,89.1%,0.00,0.00,0.00,-11.50,0.00,-11.50,,
, 1 ,Februari,RING,S,10.0,-,4006.0,4006.0/JN21/AX,Coklat,2.835,4.20,13.28,9613,1632,800,2268,5000,12.5,14,13,0,16.55,16.34,17.05,88.9%,92.8%,0,0,0,0,60,60,1564,95.8%,0.00,0.00,0.00,0.00,-0.54,-0.54,,
, 1 ,Februari,RING,CRS,12.0,12+40D,7003.0,7003.0/VL26/AX,Abu-abu,2.835,4.60,15.93,9333,1200,300,851,1875,4.7,7,6,0,11.16,8.33,11.43,67.2%,92.2%,0,0,0,0,390,390,875,72.9%,0.00,0.00,0.00,0.00,-1.74,-1.74,,
, 1 ,Februari,RING,CRS,14.0,14+40D,7003.0,7003.0/VL26/AX,Hitam,2.835,3.50,13.10,8436,1200,400,1134,2500,6.3,7,6,0,10.52,11.11,11.11,95.1%,95.1%,0,0,0,0,0,0,1200,100.0%,0.00,0.00,0.00,0.00,0.00,0.00,,
, 1 ,Februari,RING,S,20.0,-,4006.0,4006.0/JN21/AX,Pink,2.835,3.50,15.65,10170,1632,400,1134,2500,6.3,6,6,1,7.43,8.17,8.17,99.0%,99.0%,0,0,0,0,0,0,1632,100.0%,0.00,0.00,0.00,0.00,0.00,0.00,,
, 2 ,Februari,OE,E,10.0,-,3700.0,3700.0/JN24,Hijau Pastel,2.835,5.01,15.84,65000,2280,5800,16443,36250,90.6,111,100,2,93.79,84.80,95.20,81.4%,91.4%,0,0,0,0,157,157,2031,89.1%,0.00,0.00,0.00,0.00,-11.12,-11.12,,
