;;;;;;;;;;;;;;;;;;;;;;;
;;;Pt. Triputra Textile Industry (Spinning Division);;;;;;;;;;;;;;;;;;;;
;;;Yarn OE IPIs Monthly Summary;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;2025;;;;;;;;;;;;;
;Sr.;Nom. Count (Ne);Lot;Yarn Type;Slub Code;Supplier;Mills Unit;Process Step;Test Type;January;February;March;April;May;June;July;August;September;October;November;December;;2025
;1;7;4600,0;Normal;-;SSM;OE;Rotor;Routine;-;-;-;-;-;-;-;64;58;-;-;-;;61
;2;7;4600,0;Normal;-;SSM;RS;Rotor;Routine;-;-;-;-;-;-;-;109;-;-;-;-;;109
;3;7;4600,0;Fancy;-;SSM;OE;Rotor;Routine;-;-;-;-;-;-;-;12;-;-;-;-;;12
;4;7;4600,0;Fancy;-;SSM;RS;Rotor;Routine;-;-;-;-;-;-;-;146;-;-;-;-;;146
;5;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;;-
;6;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;;-
