;;;;;;;;;;;;;;;;;;;;;;;
;;;Pt. Triputra Textile Industry (Spinning Division);;;;;;;;;;;;;;;;;;;;
;;;Yarn Std IPIs Monthly Summary;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;2025;;;;;;;;;;;;;
;Sr.;Nom. Count (Ne);Lot;Yarn Type;Slub Code;Supplier;Mills Unit;Process Step;Test Type;January;February;March;April;May;June;July;August;September;October;November;December;;2025
;1;7;4600,0;Normal;-;SSM;OE;Rotor;Routine;-;-;-;-;-;-;-;245;199;-;-;-;;222
;2;7;4600,0;Normal;-;SSM;RS;Rotor;Routine;-;-;-;-;-;-;-;394;-;-;-;-;;394
;3;7;4600,0;Fancy;-;SSM;OE;Rotor;Routine;-;-;-;-;-;-;-;55;-;-;-;-;;55
;4;7;4600,0;Fancy;-;SSM;RS;Rotor;Routine;-;-;-;-;-;-;-;570;-;-;-;-;;570
;5;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;;-
;6;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;;-
